New Dietary Ingredient Notification #,New Dietary Ingredient Report # Regulations.gov,Name of New Dietary Ingredient,Firm,Date of Submission,Date of FDA's   Response  
1,Memo 2,Stevia rebaudiana Bertoni (stevia or stevia leaf),Sunrider International Inc,7/7/1995,8/16/1995
2,Memo 3,Protoprotein nutraceutical  Lab #PS-30,Foodsmith Corporation,7/10/1995,9/25/1995
3,Rpt/NDI 1,Theobromine,Tinos LLC,1/22/1996,4/6/1996
4,Rpt/NDI 2,Tepozan (Buddleja americana L.) white sapote (Casimiroa edulis),Malabar Productos Naturales S.A. De C.V,2/7/1996,3/16/1996
5,Rpt/NDI 3,Lo Han Kuo Extract (fruit extract of Siraitia grosvenorii S.) (HerbaSwy™ Cucurbitaceae Fruit Extract),"HerbaSwy Labooratories, Inc.",3/4/1996,4/17/1996
6,Rpt/NDI 4,Peptidase (enzyme derived from bacteria in the genus Serratia) (Serratiopeptidase™),Specilalty Enzymes and Biochemicals Company,5/17/1996,7/30/1996
7,Rpt/NDI 5,"Bark extract of the Pao Pereira tree, Geissospermum vellosii (Pao V™)","Natural Source International, Ltd. Formerly called VIVA (USA)  Inc.",9/11/1996,11/13/1996
8,Rpt/NDI 6,Trigonella foenum-graeceum L. (Fenugreek) ,Kentucky Biosafety Consultants Inc.,9/17/1996,12/4/1996
9,Rpt/NDI 7,"Castilleja canescens, Conyza filaginoides, Leucophyllum texanum, Solanum verbascifolium",Malabar Productos Naturales S.A. De C.V,10/16/1996,12/26/1996
10,Rpt/NDI 8,Anacahuite  (Cordia boissieri DC.)  Gordolobo (Gnaphalium berlandieri DC.),Malabar Productos Naturales S.A. De C.V,10/31/1996,1/6/1997
11,Rpt/NDI 9,Nucleotide (ReaL Build),"Natural Source International, Ltd. Formerly called VIVA (USA)  Inc.",3/10/1997,4/15/1997
12,Rpt/NDI 10,"Cuachalalate (Amphipterygium adstringens), Proudigious (Brickellia cavanillesi), Tarbush (Flourensia cernua)  ",Malabar Productos Naturales S.A. De C.V,3/18/1997,4/15/1997
13,Rpt/NDI 11,Rauwolfia Vomitoria Afz. (Rovol V™),"Natural Source International, Ltd. Formerly called VIVA (USA)  Inc.",3/20/1997,4/15/1997
14,Rpt/NDI 12,Vinpocetine,Amrion Inc.,7/8/1997,8/29/1997
15,Rpt/NDI 13,Phytolacca americana L. (Pokeweed mitogen),"Advanced Plant Pharmaceuticals, Inc.",8/1/1997,9/24/1997
16,Rpt/NDI 14,7-keto DHEA acetate (dehydroepiandrosterone metabolite),General Nutrition Corporation ,5/27/1997,6/24/1997
17,Rpt/NDI 15,Huperzine A (Huperzia serrata extract),General Nutrition Corporation,9/2/1997,10/29/1997
18,Rpt/NDI 16,"Pinitol (3-0-methyl- 1,2,4 cis-3,5,6 trans hexahydrooxycyclohexanol)",Humanetics Corporation,12/9/1997,3/12/1998
19,Rpt/NDI 17,Seagold DHA-rich oil derived from Schizochytrium sp.,Monsanto,12/22/1997,2/9/1998
20,Rpt/NDI 18,"3,3’-diindolylmethane (DIM)",BioResponse LLC,8/19/1997,4/9/1998
22,Rpt/NDI 19,S-adenosylmethionine (SAMe),U.S. Botanicals,10/21/1997,11/4/1997
23,Rpt/NDI 20,"Chancarro (Cecropia obstusifolia Bert),  Espinosilla  (Loeselia mexicana Lam. Brand), Zoapatle (Montanoa tormentosa Cerv.), Pericón (Tagetes lucida Cav.), Tronadora (Tecoma mollis H.B.K.)",Malabar Productos Naturales S.A. De C.V,1/27/1998,4/10/1998
24,Rpt/NDI 21,Alpha-D (-)ribofuranose (ribose),Humanetics Corporation,10/28/1997,11/17/1997
25,Rpt/NDI 22,Isopropoxy isoflavone,"Technical Sourcing International, Inc.",11/19/1997,1/16/1998
26,Rpt/NDI 23,5-methyltetrahydrofolate (5-MTHF) ,General Nutrition Corporation,2/26/1998,4/6/1998
27,Rpt/NDI 24,Galacto-oligosaccharide,EM Industries inc.,3/19/1998,3/31/1998
28,Rpt/NDI 25,4-butyrolactone (gamma-butyrolactone--GBL),Unique Products Company,2/13/1998,4/29/1998
29,Rpt/NDI 26,Ademetionine (aka SAMe),General Nutrition Corporation,3/13/1998,3/13/1998
30,Rpt/NDI 27,Katsuobushi oligopeptide ,General Nutrition Corporation,3/13/1998,3/13/1998
31,Rpt/NDI 28,Creatine pyruvate,SKW Trostberg AG,3/31/1998,4/6/1998
32,Rpt/NDI 29,Seaprose-S Asperigillus melleus,General Nutrition Corporation,4/28/1998,4/29/1998
34,Rpt/NDI 30,"Tecoma mollis, Cecropia obstusifolia, Tecoma mollis, Montanoa tormentosa, Jointaid, Tagetes lucida, Loeselia mexicana",Malabar Productos Naturales,5/15/1998,7/15/1998
35,,Phytolacca americana L. (Pokeweed mitogen),"Advanced Plant Pharmaceuticals, Inc.",7/5/1998,7/31/1998
36,Rpt/NDI 31,Lactobacillus casei (clearans strain),LaVida Corporation,5/15/1998,5/26/1998
37,Rpt/NDI 32,S-adenosylmethionine (SAMe) (synthesized from methionine and adenosine triphosphate (ATP),"Nutramx Laboraories, Inc.",5/27/1998,5/28/1998
38,Rpt/NDI 33,"Imperata cylindrica, Isodon glaucocalyx, Ganoderma lucidum (LingDanWang™ capsule)","P & Y American Dietary Supplements, Inc.",9/22/1998,11/23/1998
40,Rpt/NDI 34,Vinpocetine (vincamine derivative) ,Leiner Health Products,10/20/1998,10/21/1998
41,Rpt/NDI 35,(-)-Hydroxycitric acid,Pemby Ltd. c/o HOB Ireland Ltd.,11/3/1998,1/15/1999
42,Rpt/NDI 36,Danshen Root (Salvia miltiorrhiza Bge. ),XILI U.S.A.,11/13/1998,12/18/1998
43,Rpt/NDI 37,Nerium oleander ,"Ozelle Pharmaceuticals, Inc.",12/1/1998,12/23/1998
44,Rpt/NDI 38,Huperzine A (Hyperzia serrata extract),Kingchem Inc.,11/16/1998,12/7/1998
45,Rpt/NDI 39,Cordyceps sinensis mycelia extract powder  ,"P & Y American Dietary Supplements, Inc.",11/18/1998,12/18/1998
46,Rpt/NDI 40,Monacolin 8000F (Monacolin J from Monascus pilosus),General Nutrition Corporation,1/20/1999,3/5/1999
47,Rpt/NDI 41,Evening primrose seed extract,Humanetics Corporation,2/5/1999,4/19/1999
48,Rpt/NDI 42,"LDW Liver Nurishing Capsule™ (Extract of Ganoderma lucidum, Chinese black mushroom, root extract of Imperata cylindrical, Lemon grass","P & Y American Dietary Supplements, Inc.",2/12/1999,5/27/1999
49,Rpt/NDI 38,Huperzine A (Hyperzia serrata extract),Kingchem Inc.,2/22/1999,3/5/1999
50,Rpt/NDI 43,Acetyl-homotaurine (acamprosate),"Chemtech Pharmics, Inc.",3/11/1999,5/24/1999
51,Rpt/NDI 44,Chicken sternal cartilage,"Chicken Cart, Inc.",3/15/1999,3/16/1999
52,Rpt/NDI 45,Haematococcus pluvialis (Haematococcus algae),Cyanotech Corporation,3/22/1999,4/28/1999
53,Rpt/NDI 42,"LDW Liver Nurishing Capsule™ (Extract of Ganoderma lucidum, Chinese black mushroom, root extract of Imperata cylindrical, Lemon grass","P & Y American Dietary Supplements, Inc.",3/23/1999,5/27/1999
54,Rpt/NDI 46,Vinpocetine,Leiner Health Products,3/24/1999,3/25/1999
55,Rpt/NDI 47,Vinpocetine,General Nutrition Corporation,4/16/1999,4/16/1999
56,Rpt/NDI 48,Vinpocetine,Pharmavite Corporation,5/12/1999,5/13/1999
57,Rpt/NDI 49,Agaricus blazei Murrill,"Iwade Research Institute of Mycology Co., Ltd.",5/24/1999,7/29/1999
58,Rpt/NDI 50,Haematococcus pluvialis algae,Cyanotech Corporation,5/25/1999,8/7/1999
59,Rpt/NDI 51,ImmunoRx (Munogen),"New Age Health technologies, Inc.",6/10/1999,8/20/1999
60,Rpt/NDI 52,Ganoderma lucidum spore powder (Enhanvol Ganoderma Sporo-Pollon (100%)) Note communication dated 3/10/03  See file two additional brand names: Enhanavol & Holistol Ganoderma Spore Pollon (100%),"GloboAsia, LLC",6/28/1999,8/18/1999
61,Rpt/NDI 53,Vincamine,General Nutrition Corporation,6/30/1999,8/24/1999
62,Rpt/NDI 54,Plant stanol fatty acid esters,McNeil Consumer Healthcare,8/20/1999,8/24/1999
63,LET 2,Essence of Mushroom (Yun-zhi),"Winsor Health Products, Ltd.",1/7/1997,1/29/1997
